frequency,f3,f4,f5,c8
0.1,1,-0.0001,-0.02,-0.743231724355658
0.1023293,1,-0.0001,-0.02,-0.749511189046711
0.1047129,1,-0.0001,-0.02,-0.755784379700912
0.10715192,1,-0.0001,-0.02,-0.76205215862103
0.10964782,1,-0.0001,-0.02,-0.768315652111989
0.11220184,1,-0.0001,-0.02,-0.774576201133875
0.1148154,1,-0.0001,-0.02,-0.780835276547817
0.1174898,1,-0.0001,-0.02,-0.78709440860628
0.12022643,1,-0.0001,-0.02,-0.79335512316493
0.1230269,1,-0.0001,-0.02,-0.799618843880856
0.12589254,1,-0.0001,-0.02,-0.805886814476511
0.12882494,1,-0.0001,-0.02,-0.81216009982855
0.1318257,1,-0.0001,-0.02,-0.818439720097607
0.1348963,1,-0.0001,-0.02,-0.824726680272542
0.13803841,1,-0.0001,-0.02,-0.831021927783759
0.14125373,1,-0.0001,-0.02,-0.83732632099798
0.144544,1,-0.0001,-0.02,-0.843640616588611
0.14791083,1,-0.0001,-0.02,-0.849965493960482
0.15135611,1,-0.0001,-0.02,-0.856301561748173
0.1548817,1,-0.0001,-0.02,-0.862649324061279
0.15848931,1,-0.0001,-0.02,-0.869009171122743
0.162181,1,-0.0001,-0.02,-0.87538128913273
0.1659587,1,-0.0001,-0.02,-0.881765527319874
0.1698244,1,-0.0001,-0.02,-0.88816131658155
0.1737801,1,-0.0001,-0.02,-0.894567810730773
0.177828,1,-0.0001,-0.02,-0.900983898132299
0.1819701,1,-0.0001,-0.02,-0.907408102987497
0.18620871,1,-0.0001,-0.02,-0.913838492714996
0.1905461,1,-0.0001,-0.02,-0.920272603456957
0.19498443,1,-0.0001,-0.02,-0.926707331605421
0.1995262,1,-0.0001,-0.02,-0.933138802323249
0.2041738,1,-0.0001,-0.02,-0.939562118066873
0.20892961,1,-0.0001,-0.02,-0.945970972609913
0.2137962,1,-0.0001,-0.02,-0.952357241520318
0.2187762,1,-0.0001,-0.02,-0.958710431753566
0.22387212,1,-0.0001,-0.02,-0.965017013336703
0.2290868,1,-0.0001,-0.02,-0.97125995130197
0.2344229,1,-0.0001,-0.02,-0.977419359516619
0.2398833,1,-0.0001,-0.02,-0.983476348816169
0.2454709,1,-0.0001,-0.02,-0.989423697609309
0.2511886,1,-0.0001,-0.02,-0.995534660535561
0.25703954,1,-0.0001000082157,-0.02,-1.00159256523449
0.2630268,1,-0.000100089076497,-0.02,-1.00759719146063
0.26915344,1,-0.000100447332472,-0.02,-1.01354781553305
0.2754229,1,-0.000101483778719,-0.02,-1.01944360676402
0.2818383,1,-0.000103778221234,-0.02,-1.0252828823036
0.28840312,1,-0.000108029596554,-0.02,-1.03106274809952
0.29512092,1,-0.000114997180451,-0.02,-1.03677878399236
0.3019952,1,-0.000125445209947,-0.02,-1.04242559206124
0.30902954,1,-0.000140094211232,-0.02,-1.04799876919621
0.3162278,1,-0.000159591301258,-0.02,-1.05349580761516
0.32359364,1,-0.000184528102975,-0.02,-1.05891563319628
0.3311311,1,-0.000215501714615,-0.02,-1.06425592417845
0.33884412,1,-0.000253167706701,-0.02,-1.06951222263429
0.34673681,1,-0.00029825714515,-0.02,-1.07467838456479
0.3548134,1,-0.000351514243769,-0.02,-1.07974814932107
0.3630781,1,-0.000413627069605,-0.02,-1.08471640107818
0.37153521,1,-0.000485175378636,-0.019999999840182,-1.08957748729428
0.3801894,1,-0.000566594770498,-0.019999997542267,-1.09432454113952
0.38904511,1,-0.000658155275022,-0.019999984472753,-1.09895047287398
0.39810714,1,-0.000759950648419,-0.019999941181157,-1.10344717793688
0.4073803,0.999998882421677,-0.000871896068829,-0.019999834722203,-1.10780488890817
0.4168694,0.999990072275866,-0.000993742766065,-0.019999616995896,-1.11201308679346
0.42657953,0.999958924375085,-0.001125132761281,-0.019999223385263,-1.11606252165081
0.4365158,0.999882284730784,-0.001265742035797,-0.019998564194441,-1.11994350083504
0.4466836,0.999729428573444,-0.001415746317605,-0.019997486786592,-1.12364565175177
0.4570882,0.999463770734455,-0.001576249576717,-0.019995740175825,-1.12715912704133
0.4677351,0.999044904412925,-0.001749175271338,-0.019992984493657,-1.13047501967832
0.4786301,0.998430655689562,-0.001936673471765,-0.019988840980454,-1.13358522002001
0.48977881,0.997578946591284,-0.002140665753167,-0.019982933514168,-1.13648221891163
0.5011872,0.996449342611363,-0.002362854391675,-0.019974899770643,-1.13915844516073
0.51286131,0.995004224134492,-0.002604817570245,-0.019964395032717,-1.14160570132831
0.5248075,0.993209568070717,-0.002868034755106,-0.019951099090662,-1.14381705587752
0.5370318,0.991035358907717,-0.003153829835028,-0.019934727531122,-1.14578753879063
0.5495409,0.988455669584228,-0.00346331425176,-0.019915040665465,-1.14751254158677
0.5623413,0.985448464415648,-0.003797343920513,-0.019891848126841,-1.14898797945897
0.57543992,0.981995180664369,-0.004156488866512,-0.019865010067179,-1.15021253893289
0.5888436,0.978080143759143,-0.004541011384318,-0.019834436323708,-1.15118853388157
0.6025595,0.973689865527657,-0.004950826669072,-0.019800083445031,-1.15192165303293
0.61659491,0.96881226618319,-0.005385518823238,-0.019761947741463,-1.15242004490492
0.6309573,0.963435850161998,-0.005844659097531,-0.019720046955651,-1.1526927943045
0.6456543,0.957549143000436,-0.006328207987205,-0.019674395516987,-1.15274866990319
0.6606934,0.951141268514682,-0.0068364597826,-0.019624991631411,-1.15259633903006
0.676083,0.944202819684328,-0.007369886171599,-0.019571810047591,-1.15224401507146
0.69183093,0.936726721770139,-0.007929115125437,-0.01951479505566,-1.15169904829259
0.7079458,0.928709055882966,-0.008515341629279,-0.019453846718036,-1.15096708116245
0.72443592,0.920149798215203,-0.009130806123168,-0.019388808025784,-1.15005093516768
0.74131023,0.9110534198247,-0.009779128660657,-0.019319457205188,-1.14895166130224
0.7585776,0.901429283543375,-0.010465402330206,-0.019245508187584,-1.14767060529261
0.7762471,0.891291770353132,-0.011195875244214,-0.019166625256375,-1.14620953533324
0.79432821,0.88066006895243,-0.011977586125117,-0.019082438884051,-1.14456962785381
0.81283044,0.869557571498004,-0.012818042814316,-0.018992559325455,-1.14275081077943
0.8317637,0.858010838369853,-0.013724807634673,-0.018896590268444,-1.14075290857231
0.8511381,0.846048126844621,-0.014704684272009,-0.018794147848276,-1.13857672818052
0.8709636,0.833697526528298,-0.015763128599282,-0.018684875003658,-1.13622445931336
0.8912509,0.820984812005844,-0.016904272177224,-0.018568445440845,-1.13369781288088
0.9120108,0.807931213651761,-0.018131150366785,-0.018444565951627,-1.13099634549908
0.93325424,0.794551424994054,-0.019446258112815,-0.018312979377168,-1.12811795320095
0.9549925,0.780852314116464,-0.020852514868648,-0.018173465602224,-1.12505928326919
0.9772371,0.766832992147387,-0.022354195666547,-0.018025841919715,-1.12181533040438
1,0.752487118225351,-0.023957696293207,-0.017869964413333,-1.11837939643176
1.023293,0.737807086233627,-0.02567208000423,-0.017705730914588,-1.11474381930174
1.047129,0.722785112851909,-0.027508734363102,-0.017533083894034,-1.11090072347398
1.0715192,0.707413233352868,-0.029479660302343,-0.017352013881264,-1.10684262292697
1.096478,0.69168329737086,-0.031595975163997,-0.017162562761758,-1.10256361489357
1.1220182,0.675586964532336,-0.033867209244753,-0.01696483243944,-1.09805964329868
1.1481534,0.659115700156876,-0.036300894778352,-0.016758994463196,-1.09332887032924
1.1748973,0.642260770795486,-0.038902436722978,-0.016545289932154,-1.08837159284391
1.2022641,0.625013239597321,-0.041675343304991,-0.016324019850021,-1.0831894850759
1.230269,0.60736396159243,-0.044621467637306,-0.016095536941547,-1.07778572098105
1.258926,0.589307032345503,-0.047740744258129,-0.015860243744986,-1.0721644874031
1.28825,0.57085319436644,-0.051030943548004,-0.015618591491331,-1.06633039171345
1.318257,0.552037906369122,-0.054487628717116,-0.015371079367345,-1.06028746677045
1.348963,0.532922693660382,-0.058104276377144,-0.015118252790766,-1.05403889981132
1.3803842,0.513592244049471,-0.061872460803889,-0.014860699450686,-1.04758873542442
1.4125374,0.494149116805912,-0.065782024987134,-0.014599043832663,-1.04094231851723
1.44544,0.474707436641904,-0.069821075000709,-0.014333941620303,-1.03410621233324
1.4791082,0.455386538995801,-0.073975885178729,-0.014066073016136,-1.02708817836737
1.513561,0.436305206756337,-0.078231644410338,-0.013796127961253,-1.0198974723856
1.5488164,0.417576881949469,-0.08257351843964,-0.013524788880651,-1.01254363033465
1.584893,0.399306039627536,-0.086987552263263,-0.01325271718146,-1.00503485472555
1.62181,0.381585766178352,-0.091461721886918,-0.012980541559706,-0.99737757680703
1.659587,0.364496482652387,-0.095987241458837,-0.012708844957391,-0.989576099050072
1.698244,0.348105688177312,-0.100559768037153,-0.012438154517981,-0.981633644737446
1.737801,0.332468562000528,-0.10518025610575,-0.012168935794809,-0.973553292704426
1.7782794,0.317629249889348,-0.109855317259277,-0.011901593605489,-0.965337444040913
1.819701,0.303622664400508,-0.114597187846334,-0.011636475599121,-0.956987240545875
1.862087,0.290476646419141,-0.119423241049279,-0.011373877064547,-0.948501969882355
1.905461,0.278214362175354,-0.124354052268597,-0.011114047729758,-0.939879240008863
1.9498444,0.266856842743862,-0.129409439816394,-0.010857199546251,-0.931116923075745
1.9952621,0.256424716694701,-0.134604978137821,-0.010603513584771,-0.922213468051152
2.041738,0.2469364183528,-0.139949641531638,-0.010353145860278,-0.913167979856692
2.089296,0.238405488195711,-0.145445763609534,-0.010106229791402,-0.903979684159768
2.137962,0.230837897119722,-0.151093212656463,-0.009862870793141,-0.894647658285731
2.187761,0.224229493559823,-0.156893574572006,-0.00962314258579,-0.885170690291737
2.2387211,0.218563710520943,-0.16285339247174,-0.009387089351076,-0.875547976569648
2.290868,0.213809703172162,-0.168985983427377,-0.009154732454962,-0.865780458485579
2.344229,0.209921113077729,-0.175310317040633,-0.008926083494663,-0.855869446741381
2.398833,0.206835668224561,-0.181847814675403,-0.008701161573801,-0.845816191439779
2.454709,0.204475823793894,-0.188619043971675,-0.008480008443996,-0.835623268594596
2.5118863,0.202750619332115,-0.195640181215297,-0.008262703819932,-0.825295260048552
2.570396,0.201558868007294,-0.202920187753708,-0.00804938085216,-0.814837409210906
2.630268,0.200793693861507,-0.210459336500364,-0.00784024201843,-0.80425472269724
2.691535,0.200348283967621,-0.218249142573472,-0.007635575102329,-0.793552264852191
2.7542283,0.200122513948675,-0.226273034896585,-0.007435761188048,-0.782735325026146
2.818383,0.200029825928162,-0.23450849677575,-0.007241237460181,-0.771809599472843
2.884031,0.200003375054025,-0.242930016307596,-0.007052430202559,-0.760782226564136
2.951209,0.2,-0.251511437358201,-0.006869709562283,-0.749662749301971
3.019952,0.2,-0.260227276988216,-0.006693388228403,-0.738462912934837
3.090296,0.2,-0.269053506888152,-0.00652372977067,-0.727195483780938
3.162278,0.2,-0.277968571230485,-0.006360934584857,-0.715873759142178
3.235937,0.2,-0.286955547610538,-0.006205117439238,-0.704509654393571
3.311311,0.2,-0.296005463568138,-0.006056289455928,-0.693113775601286
3.3884413,0.2,-0.305119883616513,-0.005914350203437,-0.681695869625126
