frequency,c11,k1,k2
0.1,-0.576,400.0,0.0
0.13333333333333333,-0.664,400.0,0.0
0.2,-0.748,400.0,0.0
0.25,-0.793,400.0,0.0
0.3333333333333333,-0.848,400.0,0.0
0.5,-0.514,400.0,-0.299
0.6666666666666666,0.33,400.0,-1.025
1.0,1.447,400.0,-1.955
1.3333333333333333,1.995,410.0,-2.401
2.0,2.355,457.0,-2.669
2.5,2.398,503.0,-2.657
3.3333333333333335,2.306,587.0,-2.518
4.0,2.205,654.0,-2.381
5.0,2.069,748.0,-2.188
6.666666666666667,1.877,878.0,-1.931
10.0,1.615,1032.0,-1.624
13.333333333333334,1.535,1086.0,-1.471
20.0,1.449,1054.0,-1.346
33.333333333333336,1.29,908.0,-1.273
50.0,1.149,865.0,-1.219
100.0,1.094,865.0,-1.186
1000.0,1.09,865.0,-1.186
